block_type,quest,perf,n,rho,p,p_bonf
full_sentence,TAS,beta_truetarget,26,0.0996576803483202,0.6281207671672523,1.0
full_sentence,TAS,accuracy,26,0.06022052280672141,0.7701115539800257,1.0
full_sentence,TAS,hit_rate,26,-0.09281180441949076,0.6520257284901076,1.0
full_sentence,TAS,fa_rate,26,-0.20946182503070604,0.30443410010930677,1.0
full_sentence,TAS,criterion,26,0.16678106642485202,0.4154603724420128,1.0
full_sentence,LSHS,d_prime,26,0.19311784609322788,0.34454577509173445,1.0
full_sentence,LSHS,cos_ci_true,26,0.17223098685264832,0.4001622997204739,1.0
full_sentence,LSHS,cos_w_true,26,-0.07019354334948885,0.7333022581255731,1.0
full_sentence,LSHS,beta_truetarget,26,0.1852424729369438,0.3649481099874804,1.0
full_sentence,LSHS,accuracy,26,0.16239550018426732,0.4280018307289859,1.0
full_sentence,LSHS,hit_rate,26,0.006174957481704772,0.9761165895023249,1.0
full_sentence,LSHS,fa_rate,26,-0.10591261039943133,0.6065932395074844,1.0
full_sentence,LSHS,criterion,26,0.05786687232226155,0.7788730787090353,1.0
full_sentence,DES,d_prime,26,0.26128592499300174,0.19728913850585403,1.0
full_sentence,DES,cos_ci_true,26,0.24281807165580005,0.23199658679650909,1.0
full_sentence,DES,cos_w_true,26,0.13201095163258986,0.520325195106613,1.0
full_sentence,DES,beta_truetarget,26,0.19938441658497383,0.3288088498674055,1.0
full_sentence,DES,accuracy,26,0.22336992653050447,0.27269209723636106,1.0
full_sentence,DES,hit_rate,26,-0.2072985160768783,0.3095693815898331,1.0
full_sentence,DES,fa_rate,26,-0.2949333111742497,0.1435566272625617,1.0
full_sentence,DES,criterion,26,0.2828317538864037,0.16150884428614876,1.0
full_sentence,FSS,d_prime,26,0.27123132851209053,0.1801540060609358,1.0
full_sentence,FSS,cos_ci_true,26,0.1244432711297551,0.544718421136561,1.0
full_sentence,FSS,cos_w_true,26,0.1536633762292832,0.4535764615005342,1.0
full_sentence,FSS,beta_truetarget,26,0.28841962562946,0.1530321972013286,1.0
full_sentence,FSS,accuracy,26,0.2773748503016954,0.17010185990088497,1.0
full_sentence,FSS,hit_rate,26,0.19166648490979973,0.34825355886424736,1.0
full_sentence,FSS,fa_rate,26,-0.10753720817545226,0.601052826784439,1.0
full_sentence,FSS,criterion,26,-0.022688552194927724,0.9123986827856547,1.0
full_sentence,SSS_mean,d_prime,26,-0.017723002804568063,0.9315205296536857,1.0
full_sentence,SSS_mean,cos_ci_true,26,-0.024325690123916947,0.906104102994802,1.0
full_sentence,SSS_mean,cos_w_true,26,0.05282149855479108,0.7977422077112217,1.0
full_sentence,SSS_mean,beta_truetarget,26,-0.0441337520819636,0.8304884461428853,1.0
full_sentence,SSS_mean,accuracy,26,-0.036664445121708474,0.8588662404174818,1.0
full_sentence,SSS_mean,hit_rate,26,-0.19096858207527617,0.3500449035896511,1.0
full_sentence,SSS_mean,fa_rate,26,-0.07235630034032614,0.7253918597569914,1.0
full_sentence,SSS_mean,criterion,26,0.1327487661048039,0.517975510935219,1.0
imagined_sentence,BAIS_V,d_prime,26,0.053027714358798855,0.7969687347647851,1.0
imagined_sentence,BAIS_V,cos_ci_true,26,0.03488969161142404,0.8656354994276474,1.0
imagined_sentence,BAIS_V,cos_w_true,26,0.06806910422228807,0.7410984033650145,1.0
imagined_sentence,BAIS_V,beta_truetarget,26,0.10398496323404811,0.613194697344286,1.0
imagined_sentence,BAIS_V,accuracy,26,0.0552792640257495,0.7885359231659331,1.0
imagined_sentence,BAIS_V,hit_rate,26,-0.2690663012093256,0.18379286981936077,1.0
imagined_sentence,BAIS_V,fa_rate,26,-0.23484082289698793,0.24817032251097437,1.0
imagined_sentence,BAIS_V,criterion,26,0.32021897186990794,0.11075219551820172,1.0
imagined_sentence,BAIS_C,d_prime,26,0.15585972968257777,0.4470690020658154,1.0
imagined_sentence,BAIS_C,cos_ci_true,26,0.1833732895892068,0.3698920626633371,1.0
imagined_sentence,BAIS_C,cos_w_true,26,0.033527205932354975,0.870838580902552,1.0
imagined_sentence,BAIS_C,beta_truetarget,26,0.22647969721652034,0.26589634327476397,1.0
imagined_sentence,BAIS_C,accuracy,26,0.17874398556710003,0.38230295146340504,1.0
imagined_sentence,BAIS_C,hit_rate,26,-0.05467951661331327,0.7907799556866525,1.0
imagined_sentence,BAIS_C,fa_rate,26,-0.15401753123698914,0.4525237856358237,1.0
imagined_sentence,BAIS_C,criterion,26,0.1753635816955458,0.3915145581732692,1.0
imagined_sentence,VHQ,d_prime,26,0.05244830900018235,0.7991424368969835,1.0
imagined_sentence,VHQ,cos_ci_true,26,0.12439099898855474,0.5448887409518709,1.0
imagined_sentence,VHQ,cos_w_true,26,-0.1282237748677539,0.5324663825309829,1.0
imagined_sentence,VHQ,beta_truetarget,26,0.06829309748391241,0.740275216425782,1.0
imagined_sentence,VHQ,accuracy,26,0.029204288653582215,0.8873806756129905,1.0
imagined_sentence,VHQ,hit_rate,26,-0.07559121625302928,0.7136112177950892,1.0
imagined_sentence,VHQ,fa_rate,26,-0.11603301165753056,0.5724351916767253,1.0
imagined_sentence,VHQ,criterion,26,0.1740726268810039,0.3950653863403823,1.0
imagined_sentence,TAS,d_prime,26,0.16030161189788458,0.4340616640390424,1.0
imagined_sentence,TAS,cos_ci_true,26,0.2434935076551741,0.23066011471528297,1.0
imagined_sentence,TAS,cos_w_true,26,0.060616527222174144,0.7686400808857967,1.0
imagined_sentence,TAS,beta_truetarget,26,0.2239729310921011,0.27136574772984673,1.0
imagined_sentence,TAS,accuracy,26,0.15073940623245644,0.4623167589191,1.0
imagined_sentence,TAS,hit_rate,26,-0.17536033976982965,0.39152345245940035,1.0
imagined_sentence,TAS,fa_rate,26,-0.35842909119101146,0.07217176806068903,1.0
imagined_sentence,TAS,criterion,26,0.32505604634848817,0.10516747569560195,1.0
imagined_sentence,LSHS,d_prime,26,-0.08664391691120056,0.6738544900781519,1.0
imagined_sentence,LSHS,cos_ci_true,26,0.03732242061021603,0.8563590319935029,1.0
imagined_sentence,LSHS,cos_w_true,26,-0.1037494811458299,0.6140031640783892,1.0
imagined_sentence,LSHS,beta_truetarget,26,-0.03766482813875013,0.8550548268342226,1.0
imagined_sentence,LSHS,accuracy,26,-0.09262783039818374,0.6526729191856885,1.0
imagined_sentence,LSHS,hit_rate,26,-0.16023333739929224,0.4342600320458601,1.0
imagined_sentence,LSHS,fa_rate,26,-0.1675240054869684,0.4133561089165102,1.0
imagined_sentence,LSHS,criterion,26,0.23321939690327106,0.25154577807047235,1.0
imagined_sentence,DES,d_prime,26,0.020865401365534917,0.9194145004924978,1.0
imagined_sentence,DES,cos_ci_true,26,0.10259918520667606,0.6179587080262922,1.0
imagined_sentence,DES,cos_w_true,26,0.1562927587981699,0.4457918967021081,1.0
imagined_sentence,DES,beta_truetarget,26,0.0759233970529403,0.7124050681030727,1.0
imagined_sentence,DES,accuracy,26,0.02368706027333029,0.9085589147593143,1.0
imagined_sentence,DES,hit_rate,26,-0.2820429089115454,0.16273168761101045,1.0
imagined_sentence,DES,fa_rate,26,-0.3959584965597431,0.04524196764314929,1.0
imagined_sentence,DES,criterion,26,0.44364632083768507,0.02319463432207555,1.0
imagined_sentence,FSS,d_prime,26,0.07254701609474445,0.7246956073533488,1.0
imagined_sentence,FSS,cos_ci_true,26,-0.022344786252580334,0.9137210839189251,1.0
imagined_sentence,FSS,cos_w_true,26,0.21966643715998208,0.280929055757254,1.0
imagined_sentence,FSS,beta_truetarget,26,0.09762952762665869,0.63516623044567,1.0
imagined_sentence,FSS,accuracy,26,0.09040731192405606,0.6605035316159176,1.0
imagined_sentence,FSS,hit_rate,26,-0.10024172460374224,0.626097727468658,1.0
imagined_sentence,FSS,fa_rate,26,-0.30057043998374006,0.1357024815019025,1.0
imagined_sentence,FSS,criterion,26,0.2310502123965321,0.25610819688820263,1.0
imagined_sentence,SSS_mean,d_prime,26,-0.1093105377875143,0.5950297428890163,1.0
imagined_sentence,SSS_mean,cos_ci_true,26,-0.08861501402284032,0.6668495541732725,1.0
imagined_sentence,SSS_mean,cos_w_true,26,-0.0476088506710946,0.8173536644480777,1.0
imagined_sentence,SSS_mean,beta_truetarget,26,-0.10842307598088696,0.5980407692840645,1.0
imagined_sentence,SSS_mean,accuracy,26,-0.11214696493967456,0.5854499261946522,1.0
imagined_sentence,SSS_mean,hit_rate,26,-0.21172073952291737,0.29912871651681816,1.0
imagined_sentence,SSS_mean,fa_rate,26,-0.11729140979684081,0.5682484553101178,1.0
imagined_sentence,SSS_mean,criterion,26,0.1558848209783789,0.4469949487850222,1.0
